time,state_name,state_abbr,units_total_thousand
2016-01,Alabama,AL,1.221
2016-01,Alaska,AK,0.09
2016-01,Arizona,AZ,2.773
2016-01,Arkansas,AR,0.615
2016-01,California,CA,6.962
2016-01,Colorado,CO,2.149
2016-01,Connecticut,CT,0.154
2016-01,Delaware,DE,0.389
2016-01,District of Columbia,DC,0.05
2016-01,Florida,FL,7.938
2016-01,Georgia,GA,3.509
2016-01,Hawaii,HI,0.173
2016-01,Idaho,ID,0.709
2016-01,Illinois,IL,1.824
2016-01,Indiana,IN,0.999
2016-01,Iowa,IA,0.69
2016-01,Kansas,KS,0.276
2016-01,Kentucky,KY,0.753
2016-01,Louisiana,LA,1.089
2016-01,Maine,ME,0.178
2016-01,Maryland,MD,1.056
2016-01,Massachusetts,MA,0.749
2016-01,Michigan,MI,1.237
2016-01,Minnesota,MN,0.754
2016-01,Mississippi,MS,0.475
2016-01,Missouri,MO,1.052
2016-01,Montana,MT,0.16
2016-01,Nebraska,NE,0.399
2016-01,Nevada,NV,1.213
2016-01,New Hampshire,NH,0.166
2016-01,New Jersey,NJ,1.262
2016-01,New Mexico,NM,0.481
2016-01,New York,NY,1.079
2016-01,North Carolina,NC,2.979
2016-01,North Dakota,ND,0.165
2016-01,Ohio,OH,0.99
2016-01,Oklahoma,OK,1.035
2016-01,Oregon,OR,1.233
2016-01,Pennsylvania,PA,1.306
2016-01,Rhode Island,RI,0.058
2016-01,South Carolina,SC,1.947
2016-01,South Dakota,SD,0.267
2016-01,Tennessee,TN,2.892
2016-01,Texas,TX,11.879
2016-01,Utah,UT,1.268
2016-01,Vermont,VT,0.07
2016-01,Virginia,VA,2.257
2016-01,Washington,WA,2.609
2016-01,West Virginia,WV,0.138
2016-01,Wisconsin,WI,0.966
2016-01,Wyoming,WY,0.093
2016-02,Alabama,AL,1.031
2016-02,Alaska,AK,0.107
2016-02,Arizona,AZ,2.387
2016-02,Arkansas,AR,0.935
2016-02,California,CA,8.684
2016-02,Colorado,CO,2.349
2016-02,Connecticut,CT,0.421
2016-02,Delaware,DE,0.502
2016-02,District of Columbia,DC,0.03
2016-02,Florida,FL,9.453
2016-02,Georgia,GA,4.828
2016-02,Hawaii,HI,0.264
2016-02,Idaho,ID,0.809
2016-02,Illinois,IL,1.136
2016-02,Indiana,IN,1.136
2016-02,Iowa,IA,0.46
2016-02,Kansas,KS,0.556
2016-02,Kentucky,KY,0.773
2016-02,Louisiana,LA,1.089
2016-02,Maine,ME,0.192
2016-02,Maryland,MD,1.09
2016-02,Massachusetts,MA,0.868
2016-02,Michigan,MI,1.322
2016-02,Minnesota,MN,1.076
2016-02,Mississippi,MS,0.579
2016-02,Missouri,MO,0.873
2016-02,Montana,MT,0.18
2016-02,Nebraska,NE,0.483
2016-02,Nevada,NV,2.098
2016-02,New Hampshire,NH,0.115
2016-02,New Jersey,NJ,2.41
2016-02,New Mexico,NM,0.379
2016-02,New York,NY,1.69
2016-02,North Carolina,NC,3.847
2016-02,North Dakota,ND,0.175
2016-02,Ohio,OH,1.181
2016-02,Oklahoma,OK,1.027
2016-02,Oregon,OR,1.258
2016-02,Pennsylvania,PA,1.53
2016-02,Rhode Island,RI,0.049
2016-02,South Carolina,SC,2.116
2016-02,South Dakota,SD,0.486
2016-02,Tennessee,TN,3.677
2016-02,Texas,TX,12.591
2016-02,Utah,UT,1.359
2016-02,Vermont,VT,0.05
2016-02,Virginia,VA,1.466
2016-02,Washington,WA,2.38
2016-02,West Virginia,WV,0.123
2016-02,Wisconsin,WI,0.768
2016-02,Wyoming,WY,0.089
2016-03,Alabama,AL,1.261
2016-03,Alaska,AK,0.125
2016-03,Arizona,AZ,2.553
2016-03,Arkansas,AR,0.646
2016-03,California,CA,7.634
2016-03,Colorado,CO,2.742
2016-03,Connecticut,CT,0.576
2016-03,Delaware,DE,0.489
2016-03,District of Columbia,DC,0.617
2016-03,Florida,FL,9.292
2016-03,Georgia,GA,4.439
2016-03,Hawaii,HI,0.207
2016-03,Idaho,ID,0.917
2016-03,Illinois,IL,2.386
2016-03,Indiana,IN,1.569
2016-03,Iowa,IA,1.155
2016-03,Kansas,KS,0.784
2016-03,Kentucky,KY,1.159
2016-03,Louisiana,LA,1.286
2016-03,Maine,ME,0.28
2016-03,Maryland,MD,1.359
2016-03,Massachusetts,MA,1.021
2016-03,Michigan,MI,1.691
2016-03,Minnesota,MN,1.357
2016-03,Mississippi,MS,0.596
2016-03,Missouri,MO,1.968
2016-03,Montana,MT,0.252
2016-03,Nebraska,NE,0.65
2016-03,Nevada,NV,1.31
2016-03,New Hampshire,NH,0.252
2016-03,New Jersey,NJ,2.099
2016-03,New Mexico,NM,0.381
2016-03,New York,NY,1.871
2016-03,North Carolina,NC,4.663
2016-03,North Dakota,ND,0.362
2016-03,Ohio,OH,1.833
2016-03,Oklahoma,OK,0.972
2016-03,Oregon,OR,1.851
2016-03,Pennsylvania,PA,1.649
2016-03,Rhode Island,RI,0.094
2016-03,South Carolina,SC,2.751
2016-03,South Dakota,SD,0.373
2016-03,Tennessee,TN,3.832
2016-03,Texas,TX,14.376
2016-03,Utah,UT,1.813
2016-03,Vermont,VT,0.125
2016-03,Virginia,VA,2.812
2016-03,Washington,WA,3.629
2016-03,West Virginia,WV,0.248
2016-03,Wisconsin,WI,1.272
2016-03,Wyoming,WY,0.138
2016-04,Alabama,AL,1.447
2016-04,Alaska,AK,0.156
2016-04,Arizona,AZ,2.577
2016-04,Arkansas,AR,0.801
2016-04,California,CA,7.925
2016-04,Colorado,CO,3.035
2016-04,Connecticut,CT,0.38
2016-04,Delaware,DE,0.573
2016-04,District of Columbia,DC,0.025
2016-04,Florida,FL,9.428
2016-04,Georgia,GA,4.382
2016-04,Hawaii,HI,0.309
2016-04,Idaho,ID,1.049
2016-04,Illinois,IL,1.311
2016-04,Indiana,IN,1.635
2016-04,Iowa,IA,1.349
2016-04,Kansas,KS,1.239
2016-04,Kentucky,KY,0.966
2016-04,Louisiana,LA,1.121
2016-04,Maine,ME,0.457
2016-04,Maryland,MD,1.352
2016-04,Massachusetts,MA,1.138
2016-04,Michigan,MI,2.552
2016-04,Minnesota,MN,1.855
2016-04,Mississippi,MS,0.705
2016-04,Missouri,MO,2.049
2016-04,Montana,MT,0.338
2016-04,Nebraska,NE,1.008
2016-04,Nevada,NV,1.552
2016-04,New Hampshire,NH,0.339
2016-04,New Jersey,NJ,2.211
2016-04,New Mexico,NM,0.403
2016-04,New York,NY,2.039
2016-04,North Carolina,NC,5.037
2016-04,North Dakota,ND,0.476
2016-04,Ohio,OH,2.289
2016-04,Oklahoma,OK,1.125
2016-04,Oregon,OR,1.529
2016-04,Pennsylvania,PA,1.712
2016-04,Rhode Island,RI,0.074
2016-04,South Carolina,SC,2.783
2016-04,South Dakota,SD,0.596
2016-04,Tennessee,TN,3.347
2016-04,Texas,TX,12.426
2016-04,Utah,UT,1.86
2016-04,Vermont,VT,0.142
2016-04,Virginia,VA,2.997
2016-04,Washington,WA,3.643
2016-04,West Virginia,WV,0.252
2016-04,Wisconsin,WI,1.523
2016-04,Wyoming,WY,0.171
2016-05,Alabama,AL,1.116
2016-05,Alaska,AK,0.177
2016-05,Arizona,AZ,3.503
2016-05,Arkansas,AR,0.969
2016-05,California,CA,10.242
2016-05,Colorado,CO,3.539
2016-05,Connecticut,CT,0.368
2016-05,Delaware,DE,0.519
2016-05,District of Columbia,DC,0.363
2016-05,Florida,FL,8.6
2016-05,Georgia,GA,4.081
2016-05,Hawaii,HI,0.233
2016-05,Idaho,ID,1.374
2016-05,Illinois,IL,1.964
2016-05,Indiana,IN,1.728
2016-05,Iowa,IA,0.96
2016-05,Kansas,KS,0.507
2016-05,Kentucky,KY,1.091
2016-05,Louisiana,LA,1.285
2016-05,Maine,ME,0.443
2016-05,Maryland,MD,2.654
2016-05,Massachusetts,MA,0.97
2016-05,Michigan,MI,2.562
2016-05,Minnesota,MN,2.065
2016-05,Mississippi,MS,0.719
2016-05,Missouri,MO,2.045
2016-05,Montana,MT,0.379
2016-05,Nebraska,NE,0.908
2016-05,Nevada,NV,2.059
2016-05,New Hampshire,NH,0.37
2016-05,New Jersey,NJ,1.937
2016-05,New Mexico,NM,0.433
2016-05,New York,NY,2.715
2016-05,North Carolina,NC,4.867
2016-05,North Dakota,ND,0.512
2016-05,Ohio,OH,1.911
2016-05,Oklahoma,OK,1.162
2016-05,Oregon,OR,1.83
2016-05,Pennsylvania,PA,1.926
2016-05,Rhode Island,RI,0.113
2016-05,South Carolina,SC,2.957
2016-05,South Dakota,SD,0.778
2016-05,Tennessee,TN,2.909
2016-05,Texas,TX,14.641
2016-05,Utah,UT,2.056
2016-05,Vermont,VT,0.256
2016-05,Virginia,VA,2.675
2016-05,Washington,WA,3.831
2016-05,West Virginia,WV,0.243
2016-05,Wisconsin,WI,1.899
2016-05,Wyoming,WY,0.232
2016-06,Alabama,AL,1.653
2016-06,Alaska,AK,0.137
2016-06,Arizona,AZ,4.711
2016-06,Arkansas,AR,0.951
2016-06,California,CA,8.987
2016-06,Colorado,CO,3.013
2016-06,Connecticut,CT,0.504
2016-06,Delaware,DE,0.44
2016-06,District of Columbia,DC,0.927
2016-06,Florida,FL,9.728
2016-06,Georgia,GA,5.473
2016-06,Hawaii,HI,0.776
2016-06,Idaho,ID,1.031
2016-06,Illinois,IL,1.516
2016-06,Indiana,IN,1.544
2016-06,Iowa,IA,1.201
2016-06,Kansas,KS,0.732
2016-06,Kentucky,KY,1.459
2016-06,Louisiana,LA,1.618
2016-06,Maine,ME,0.473
2016-06,Maryland,MD,1.59
2016-06,Massachusetts,MA,1.479
2016-06,Michigan,MI,2.853
2016-06,Minnesota,MN,2.168
2016-06,Mississippi,MS,0.643
2016-06,Missouri,MO,1.659
2016-06,Montana,MT,0.362
2016-06,Nebraska,NE,0.617
2016-06,Nevada,NV,1.528
2016-06,New Hampshire,NH,0.364
2016-06,New Jersey,NJ,2.248
2016-06,New Mexico,NM,0.462
2016-06,New York,NY,4.503
2016-06,North Carolina,NC,5.21
2016-06,North Dakota,ND,0.381
2016-06,Ohio,OH,2.229
2016-06,Oklahoma,OK,1.206
2016-06,Oregon,OR,1.271
2016-06,Pennsylvania,PA,2.436
2016-06,Rhode Island,RI,0.083
2016-06,South Carolina,SC,3.093
2016-06,South Dakota,SD,0.625
2016-06,Tennessee,TN,2.816
2016-06,Texas,TX,15.477
2016-06,Utah,UT,2.328
2016-06,Vermont,VT,0.247
2016-06,Virginia,VA,2.608
2016-06,Washington,WA,4.552
2016-06,West Virginia,WV,0.284
2016-06,Wisconsin,WI,2.022
2016-06,Wyoming,WY,0.176
2016-07,Alabama,AL,1.024
2016-07,Alaska,AK,0.121
2016-07,Arizona,AZ,2.44
2016-07,Arkansas,AR,0.653
2016-07,California,CA,6.063
2016-07,Colorado,CO,2.868
2016-07,Connecticut,CT,0.285
2016-07,Delaware,DE,0.42
2016-07,District of Columbia,DC,0.067
2016-07,Florida,FL,8.95
2016-07,Georgia,GA,3.69
2016-07,Hawaii,HI,0.273
2016-07,Idaho,ID,1.105
2016-07,Illinois,IL,2.188
2016-07,Indiana,IN,1.664
2016-07,Iowa,IA,0.702
2016-07,Kansas,KS,0.922
2016-07,Kentucky,KY,0.926
2016-07,Louisiana,LA,1.04
2016-07,Maine,ME,0.471
2016-07,Maryland,MD,1.04
2016-07,Massachusetts,MA,1.33
2016-07,Michigan,MI,2.892
2016-07,Minnesota,MN,2.063
2016-07,Mississippi,MS,0.563
2016-07,Missouri,MO,1.522
2016-07,Montana,MT,0.26
2016-07,Nebraska,NE,0.779
2016-07,Nevada,NV,1.422
2016-07,New Hampshire,NH,0.259
2016-07,New Jersey,NJ,1.588
2016-07,New Mexico,NM,0.301
2016-07,New York,NY,2.941
2016-07,North Carolina,NC,5.922
2016-07,North Dakota,ND,0.534
2016-07,Ohio,OH,1.822
2016-07,Oklahoma,OK,1.072
2016-07,Oregon,OR,2.128
2016-07,Pennsylvania,PA,1.363
2016-07,Rhode Island,RI,0.071
2016-07,South Carolina,SC,2.83
2016-07,South Dakota,SD,0.334
2016-07,Tennessee,TN,2.91
2016-07,Texas,TX,13.977
2016-07,Utah,UT,1.7
2016-07,Vermont,VT,0.128
2016-07,Virginia,VA,2.459
2016-07,Washington,WA,3.305
2016-07,West Virginia,WV,0.254
2016-07,Wisconsin,WI,1.329
2016-07,Wyoming,WY,0.155
2016-08,Alabama,AL,1.208
2016-08,Alaska,AK,0.123
2016-08,Arizona,AZ,2.629
2016-08,Arkansas,AR,1.01
2016-08,California,CA,9.223
2016-08,Colorado,CO,2.936
2016-08,Connecticut,CT,0.357
2016-08,Delaware,DE,0.56
2016-08,District of Columbia,DC,0.444
2016-08,Florida,FL,10.623
2016-08,Georgia,GA,3.846
2016-08,Hawaii,HI,0.239
2016-08,Idaho,ID,1.244
2016-08,Illinois,IL,1.824
2016-08,Indiana,IN,1.917
2016-08,Iowa,IA,2.117
2016-08,Kansas,KS,0.995
2016-08,Kentucky,KY,1.287
2016-08,Louisiana,LA,1.568
2016-08,Maine,ME,0.391
2016-08,Maryland,MD,1.146
2016-08,Massachusetts,MA,1.08
2016-08,Michigan,MI,2.325
2016-08,Minnesota,MN,2.795
2016-08,Mississippi,MS,0.584
2016-08,Missouri,MO,1.68
2016-08,Montana,MT,0.384
2016-08,Nebraska,NE,0.744
2016-08,Nevada,NV,1.187
2016-08,New Hampshire,NH,0.314
2016-08,New Jersey,NJ,2.539
2016-08,New Mexico,NM,0.414
2016-08,New York,NY,3.289
2016-08,North Carolina,NC,5.362
2016-08,North Dakota,ND,0.457
2016-08,Ohio,OH,2.426
2016-08,Oklahoma,OK,1.613
2016-08,Oregon,OR,1.982
2016-08,Pennsylvania,PA,1.794
2016-08,Rhode Island,RI,0.112
2016-08,South Carolina,SC,3.028
2016-08,South Dakota,SD,0.526
2016-08,Tennessee,TN,3.078
2016-08,Texas,TX,14.614
2016-08,Utah,UT,1.996
2016-08,Vermont,VT,0.232
2016-08,Virginia,VA,2.971
2016-08,Washington,WA,2.987
2016-08,West Virginia,WV,0.213
2016-08,Wisconsin,WI,1.862
2016-08,Wyoming,WY,0.146
2016-09,Alabama,AL,1.265
2016-09,Alaska,AK,0.168
2016-09,Arizona,AZ,3.514
2016-09,Arkansas,AR,0.598
2016-09,California,CA,8.355
2016-09,Colorado,CO,3.568
2016-09,Connecticut,CT,0.631
2016-09,Delaware,DE,0.496
2016-09,District of Columbia,DC,1.098
2016-09,Florida,FL,9.987
2016-09,Georgia,GA,3.699
2016-09,Hawaii,HI,0.349
2016-09,Idaho,ID,0.837
2016-09,Illinois,IL,2.223
2016-09,Indiana,IN,1.705
2016-09,Iowa,IA,1.328
2016-09,Kansas,KS,0.732
2016-09,Kentucky,KY,0.966
2016-09,Louisiana,LA,1.98
2016-09,Maine,ME,0.348
2016-09,Maryland,MD,1.088
2016-09,Massachusetts,MA,2.006
2016-09,Michigan,MI,2.492
2016-09,Minnesota,MN,2.563
2016-09,Mississippi,MS,0.564
2016-09,Missouri,MO,1.581
2016-09,Montana,MT,0.73
2016-09,Nebraska,NE,0.73
2016-09,Nevada,NV,1.164
2016-09,New Hampshire,NH,0.334
2016-09,New Jersey,NJ,1.972
2016-09,New Mexico,NM,0.41
2016-09,New York,NY,4.386
2016-09,North Carolina,NC,5.124
2016-09,North Dakota,ND,0.48
2016-09,Ohio,OH,2.445
2016-09,Oklahoma,OK,0.837
2016-09,Oregon,OR,1.52
2016-09,Pennsylvania,PA,2.22
2016-09,Rhode Island,RI,0.091
2016-09,South Carolina,SC,2.759
2016-09,South Dakota,SD,0.545
2016-09,Tennessee,TN,2.704
2016-09,Texas,TX,13.805
2016-09,Utah,UT,1.918
2016-09,Vermont,VT,0.165
2016-09,Virginia,VA,2.605
2016-09,Washington,WA,4.483
2016-09,West Virginia,WV,0.235
2016-09,Wisconsin,WI,1.758
2016-09,Wyoming,WY,0.162
2016-10,Alabama,AL,1.08
2016-10,Alaska,AK,0.117
2016-10,Arizona,AZ,2.174
2016-10,Arkansas,AR,0.813
2016-10,California,CA,8.274
2016-10,Colorado,CO,4.076
2016-10,Connecticut,CT,0.524
2016-10,Delaware,DE,0.5
2016-10,District of Columbia,DC,0.679
2016-10,Florida,FL,10.156
2016-10,Georgia,GA,4.73
2016-10,Hawaii,HI,0.178
2016-10,Idaho,ID,0.918
2016-10,Illinois,IL,3.302
2016-10,Indiana,IN,1.815
2016-10,Iowa,IA,1.182
2016-10,Kansas,KS,0.611
2016-10,Kentucky,KY,0.999
2016-10,Louisiana,LA,1.257
2016-10,Maine,ME,0.354
2016-10,Maryland,MD,0.987
2016-10,Massachusetts,MA,1.052
2016-10,Michigan,MI,2.36
2016-10,Minnesota,MN,2.401
2016-10,Mississippi,MS,0.554
2016-10,Missouri,MO,1.845
2016-10,Montana,MT,0.426
2016-10,Nebraska,NE,0.819
2016-10,Nevada,NV,1.044
2016-10,New Hampshire,NH,0.391
2016-10,New Jersey,NJ,1.594
2016-10,New Mexico,NM,0.314
2016-10,New York,NY,2.642
2016-10,North Carolina,NC,4.786
2016-10,North Dakota,ND,0.481
2016-10,Ohio,OH,1.811
2016-10,Oklahoma,OK,0.927
2016-10,Oregon,OR,1.529
2016-10,Pennsylvania,PA,1.989
2016-10,Rhode Island,RI,0.099
2016-10,South Carolina,SC,2.223
2016-10,South Dakota,SD,0.454
2016-10,Tennessee,TN,2.923
2016-10,Texas,TX,12.128
2016-10,Utah,UT,2.764
2016-10,Vermont,VT,0.167
2016-10,Virginia,VA,1.709
2016-10,Washington,WA,4.078
2016-10,West Virginia,WV,0.284
2016-10,Wisconsin,WI,2.038
2016-10,Wyoming,WY,0.144
2016-11,Alabama,AL,0.927
2016-11,Alaska,AK,0.099
2016-11,Arizona,AZ,2.958
2016-11,Arkansas,AR,0.513
2016-11,California,CA,7.83
2016-11,Colorado,CO,3.644
2016-11,Connecticut,CT,0.245
2016-11,Delaware,DE,0.473
2016-11,District of Columbia,DC,0.021
2016-11,Florida,FL,8.24
2016-11,Georgia,GA,3.54
2016-11,Hawaii,HI,0.322
2016-11,Idaho,ID,0.897
2016-11,Illinois,IL,1.327
2016-11,Indiana,IN,1.442
2016-11,Iowa,IA,1.448
2016-11,Kansas,KS,0.522
2016-11,Kentucky,KY,1.16
2016-11,Louisiana,LA,1.037
2016-11,Maine,ME,0.316
2016-11,Maryland,MD,1.004
2016-11,Massachusetts,MA,1.11
2016-11,Michigan,MI,1.814
2016-11,Minnesota,MN,2.361
2016-11,Mississippi,MS,0.619
2016-11,Missouri,MO,1.786
2016-11,Montana,MT,0.227
2016-11,Nebraska,NE,0.573
2016-11,Nevada,NV,0.932
2016-11,New Hampshire,NH,0.381
2016-11,New Jersey,NJ,1.847
2016-11,New Mexico,NM,0.575
2016-11,New York,NY,2.773
2016-11,North Carolina,NC,4.441
2016-11,North Dakota,ND,0.291
